name: rag_venv
channels:
  - pytorch
  - anaconda
  - sfe1ed40
  - conda-forge
  - defaults
  - https://repo.anaconda.com/pkgs/main
  - https://repo.anaconda.com/pkgs/r
  - https://repo.anaconda.com/pkgs/msys2
dependencies:
  - aiohappyeyeballs=2.4.3=pyhd8ed1ab_0
  - aiohttp=3.10.10=py310h38315fa_0
  - aiosignal=1.3.1=pyhd8ed1ab_0
  - annotated-types=0.7.0=pyhd8ed1ab_0
  - anyio=4.6.2.post1=pyhd8ed1ab_0
  - asgiref=3.8.1=pyhd8ed1ab_0
  - async-timeout=4.0.3=pyhd8ed1ab_0
  - attrs=24.2.0=pyh71513ae_0
  - aws-c-auth=0.7.22=ha390a07_2
  - aws-c-cal=0.6.14=h750c3ff_1
  - aws-c-common=0.9.19=h2466b09_0
  - aws-c-compression=0.2.18=h750c3ff_6
  - aws-c-event-stream=0.4.2=he05106e_12
  - aws-c-http=0.8.1=h55c4ea9_17
  - aws-c-io=0.14.8=ha255af7_5
  - aws-c-mqtt=0.10.4=heb8cf2b_4
  - aws-c-s3=0.5.9=haf5e0f7_3
  - aws-c-sdkutils=0.1.16=h750c3ff_2
  - aws-checksums=0.1.18=h750c3ff_6
  - aws-crt-cpp=0.26.9=hb2f7e64_0
  - aws-sdk-cpp=1.11.329=h752cf48_3
  - backoff=2.2.1=pyhd8ed1ab_0
  - bcrypt=4.2.0=py310hc226416_1
  - beautifulsoup4=4.12.3=py310haa95532_0
  - blas=1.0=mkl
  - blinker=1.8.2=pyhd8ed1ab_0
  - bottleneck=1.4.2=py310hb0944cc_0
  - brotli-python=1.1.0=py310h9e98ed7_2
  - bzip2=1.0.8=h2466b09_7
  - c-ares=1.34.2=h2466b09_0
  - ca-certificates=2024.12.14=h56e8100_0
  - cachelib=0.13.0=pyhd8ed1ab_0
  - cachetools=5.5.0=pyhd8ed1ab_0
  - certifi=2024.12.14=pyhd8ed1ab_0
  - cffi=1.17.1=py310ha8f682b_0
  - charset-normalizer=3.4.0=pyhd8ed1ab_0
  - chroma-hnswlib=0.7.6=py310h3e8ed56_1
  - chromadb=0.6.3=py310h5588dad_0
  - click=8.1.7=win_pyh7428d3b_0
  - colorama=0.4.6=pyhd8ed1ab_0
  - coloredlogs=15.0.1=pyhd8ed1ab_3
  - cryptography=43.0.3=py310h25a5809_0
  - dataclasses=0.8=pyh6d0b6a4_7
  - dataclasses-json=0.6.7=pyhd8ed1ab_0
  - datasets=2.12.0=py310haa95532_0
  - deprecated=1.2.14=pyh1a96a4e_0
  - deprecation=2.1.0=pyhd3eb1b0_0
  - distro=1.9.0=py310haa95532_0
  - dlfcn-win32=1.4.1=h63175ca_0
  - dnspython=2.7.0=pyhff2d567_0
  - durationpy=0.9=pyhd8ed1ab_0
  - email-validator=2.2.0=pyhd8ed1ab_0
  - email_validator=2.2.0=hd8ed1ab_0
  - environs=9.5.0=py310haa95532_0
  - exceptiongroup=1.2.2=pyhd8ed1ab_0
  - fastapi=0.115.4=pyhd8ed1ab_0
  - fastapi-cli=0.0.5=pyhd8ed1ab_1
  - filelock=3.16.1=pyhd8ed1ab_0
  - flask=3.0.3=py310haa95532_0
  - flask-cors=5.0.0=pyhd8ed1ab_1
  - flask-login=0.6.3=py310haa95532_0
  - flask-session=0.8.0=pyhd8ed1ab_1
  - flask-sqlalchemy=3.1.1=pyh29332c3_1
  - freetype=2.12.1=hdaf720e_2
  - frozenlist=1.5.0=py310ha8f682b_0
  - fsspec=2024.10.0=pyhff2d567_0
  - ftfy=5.8=py_0
  - google-api-core=2.19.1=py310haa95532_0
  - google-api-python-client=2.159.0=pyhff2d567_0
  - google-auth=2.37.0=pyhd8ed1ab_0
  - google-auth-httplib2=0.2.0=pyhd8ed1ab_1
  - google-auth-oauthlib=1.2.1=pyhd8ed1ab_1
  - googleapis-common-protos=1.65.0=pyhd8ed1ab_0
  - gotrue=2.10.0=pyhd8ed1ab_0
  - greenlet=3.1.1=py310h9e98ed7_0
  - grpcio=1.62.2=py310hb84602e_0
  - grpcio-tools=1.62.2=py310h958608f_0
  - h11=0.14.0=pyhd8ed1ab_0
  - h2=4.1.0=pyhd8ed1ab_0
  - hpack=4.0.0=pyh9f0ad1d_0
  - httpcore=1.0.6=pyhd8ed1ab_0
  - httplib2=0.22.0=pyhd8ed1ab_1
  - httptools=0.6.1=py310ha8f682b_1
  - httpx=0.27.2=pyhd8ed1ab_0
  - huggingface_hub=0.26.1=pyh0610db2_0
  - humanfriendly=10.0=py310h5588dad_5
  - hyperframe=6.0.1=pyhd8ed1ab_0
  - icc_rt=2022.1.0=h6049295_2
  - idna=3.10=pyhd8ed1ab_0
  - importlib-metadata=8.2.0=pyha770c72_0
  - importlib-resources=6.4.0=pyhd3eb1b0_0
  - importlib_resources=6.4.0=pyhd8ed1ab_0
  - intel-openmp=2024.2.1=h57928b3_1083
  - itsdangerous=2.2.0=pyhd8ed1ab_0
  - jinja2=3.1.4=pyhd8ed1ab_0
  - jiter=0.6.1=py310hefb1915_0
  - joblib=1.4.2=py310haa95532_0
  - jsonpatch=1.33=pyhd8ed1ab_0
  - jsonpointer=3.0.0=py310h5588dad_1
  - krb5=1.21.3=hdf4eb48_0
  - langchain=0.3.4=pyhd8ed1ab_0
  - langchain-community=0.3.3=pyhd8ed1ab_0
  - langchain-core=0.3.30=pyhd8ed1ab_0
  - langchain-openai=0.3.0=pyhd8ed1ab_0
  - langchain-text-splitters=0.3.0=pyhd8ed1ab_0
  - langsmith=0.1.129=pyhd8ed1ab_0
  - lcms2=2.15=h3e3b177_1
  - lerc=4.0.0=h63175ca_0
  - libabseil=20240116.2=cxx17_h5da7b33_0
  - libarrow=16.1.0=h35ad6a0_6_cpu
  - libarrow-acero=16.1.0=he0c23c2_6_cpu
  - libarrow-dataset=16.1.0=he0c23c2_6_cpu
  - libarrow-substrait=16.1.0=h1f0e801_6_cpu
  - libblas=3.9.0=1_h8933c1f_netlib
  - libbrotlicommon=1.1.0=h2466b09_2
  - libbrotlidec=1.1.0=h2466b09_2
  - libbrotlienc=1.1.0=h2466b09_2
  - libcblas=3.9.0=5_hd5c7e75_netlib
  - libcrc32c=1.1.2=hd77b12b_0
  - libcurl=8.9.1=h0416ee5_0
  - libdeflate=1.18=hcfcfb64_0
  - libevent=2.1.12=h56d1f94_1
  - libexpat=2.6.3=he0c23c2_0
  - libffi=3.4.2=h8ffe710_5
  - libgoogle-cloud=2.24.0=h5e7cea3_0
  - libgoogle-cloud-storage=2.24.0=hce61461_0
  - libgrpc=1.62.2=h5273850_0
  - libhwloc=2.11.1=default_h8125262_1000
  - libiconv=1.17=hcfcfb64_2
  - libjpeg-turbo=2.1.5.1=hcfcfb64_1
  - liblapack=3.9.0=5_hd5c7e75_netlib
  - libparquet=16.1.0=h178134c_6_cpu
  - libpng=1.6.43=h19919ed_0
  - libprotobuf=4.25.3=hf2fb9eb_0
  - libpulsar=3.5.1=h0b1f996_1
  - libre2-11=2023.09.01=hf8d8778_2
  - libsentencepiece=0.2.0=h8e1a442_4
  - libsqlite=3.47.0=h2466b09_0
  - libssh2=1.11.0=h7dfc565_0
  - libthrift=0.19.0=ha2b3283_1
  - libtiff=4.5.1=h6c8260b_1
  - libutf8proc=2.8.0=h82a8f57_0
  - libuv=1.48.0=h827c3e9_0
  - libwebp-base=1.4.0=hcfcfb64_0
  - libxcb=1.15=hcd874cb_0
  - libxml2=2.13.1=h24da03e_2
  - libzlib=1.2.13=h2466b09_6
  - lz4-c=1.9.4=h2bbff1b_1
  - m2w64-gcc-libgfortran=5.3.0=6
  - m2w64-gcc-libs=5.3.0=7
  - m2w64-gcc-libs-core=5.3.0=7
  - m2w64-gmp=6.1.0=2
  - m2w64-libwinpthread-git=5.0.0.4634.697f757=2
  - markdown-it-py=3.0.0=pyhd8ed1ab_0
  - markupsafe=3.0.2=py310h38315fa_0
  - marshmallow=3.23.0=pyhd8ed1ab_0
  - mdurl=0.1.2=pyhd8ed1ab_0
  - mkl=2023.1.0=h6a75c08_48682
  - mkl-service=2.4.0=py310h2bbff1b_1
  - mmh3=5.0.1=py310h9e98ed7_0
  - monotonic=1.5=py_0
  - mpmath=1.3.0=pyhd8ed1ab_0
  - msgspec=0.18.6=py310h8d17308_0
  - msys2-conda-epoch=20160418=1
  - multidict=6.1.0=py310h38315fa_1
  - multiprocess=0.70.14=py310haa95532_0
  - mypy_extensions=1.0.0=pyha770c72_0
  - networkx=3.3=py310haa95532_0
  - numexpr=2.10.1=py310h4cd664f_0
  - numpy=1.26.4=py310hf667824_0
